STATION,STATION_NAME,DATE,PRCP,SNOW,TMAX,AWND
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150903,0.00,0.0,93,2.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150904,0.00,0.0,85,6.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150905,0.00,0.0,83,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150906,0.00,0.0,87,1.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150907,0.00,0.0,92,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150908,0.00,0.0,97,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150909,0.00,0.0,90,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150910,1.58,0.0,79,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150911,0.00,0.0,81,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150912,0.29,0.0,79,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150913,0.04,0.0,80,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150914,0.00,0.0,77,6.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150915,0.00,0.0,84,2.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150916,0.00,0.0,88,1.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150917,0.00,0.0,89,2.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150918,0.00,0.0,87,2.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150919,0.00,0.0,83,2.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150920,0.00,0.0,79,7.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150921,0.00,0.0,73,7.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150922,0.00,0.0,71,6.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150923,0.00,0.0,80,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150924,0.00,0.0,82,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150925,0.00,0.0,76,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150926,0.00,0.0,72,6.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150927,0.00,0.0,71,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150928,0.00,0.0,78,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150929,0.11,0.0,83,2.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20150930,1.26,0.0,79,8.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151001,0.09,0.0,64,8.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151002,1.08,0.0,57,12.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151003,0.35,0.0,55,11.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151004,0.00,0.0,63,10.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151005,0.00,0.0,67,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151006,0.00,0.0,73,1.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151007,0.00,0.0,73,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151008,0.00,0.0,72,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151009,0.89,0.0,78,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151010,0.00,0.0,65,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151011,0.00,0.0,69,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151012,0.00,0.0,77,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151013,0.01,0.0,72,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151014,0.00,0.0,69,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151015,0.00,0.0,64,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151016,0.00,0.0,64,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151017,0.00,0.0,56,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151018,0.00,0.0,50,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151019,0.00,0.0,53,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151020,0.00,0.0,70,6.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20151021,0.00,0.0,76,2.2
